Hotel ID,Hotel Name,Website URL,Status
92,favehotel Palembang,https://www.favehotels.com/en/hotel/view/59/favehotel-palembang,Success
93,favehotel Malioboro,https://www.favehotels.com/hotellist/eng/61/favehotel-malioboro,Failed
94,favehotel Kelapa Gading,https://www.favehotels.com/en/hotel/view/65/favehotel-kelapa-gading,Success
95,favehotel Hyper Square - Bandung,https://www.favehotels.com/en/hotel/view/66/favehotel-hyper-square,Success
96,favehotel Kupang,https://www.favehotels.com/hotellist/eng/67/favehotel-kupang,Failed
97,favehotel Puri Indah,https://www.favehotels.com/en/hotel/view/68/favehotel-puri-indah,Success
98,Hotel Neo Eltari Kupang,https://www.neohotels.com/en/hotel/view/36/hotel-neo-eltari---kupang,Success
99,Aston Semarang Hotel & Convention Center,https://www.astonhotelsinternational.com/en/hotel/view/34/aston-semarang-hotel---convention-center,Success
100,Hotel Neo Widuran Solo,https://www.neohotels.com/en/location/overview/37/Hotel-NEO-Widuran---Solo,Failed
101,favehotel Langko Mataram,https://www.favehotels.com/en/hotel/view/69/favehotel-langko,Success
102,Aston Inn Mataram,https://www.astonhotelsinternational.com/en/hotel/view/14/aston-inn-mataram,Success
103,The Alana Hotel & Convention Center - Solo,https://www.alanahotels.com/en/hotel/view/4/the-alana-hotel---convention-center---solo,Success
104,"Hotel Neo+ Kuta, Legian",https://www.neohotels.com/en/hotel/view/24/hotel-neo--kuta--legian,Success
105,favehotel Jayapura,https://www.favehotels.com/en/hotel/view/73/favehotel-jayapura,Failed
106,favehotel LTC Glodok Jakarta,https://www.favehotels.com/en/hotel/view/71/favehotel-ltc-glodok,Success
107,favehotel Letjend Soeprapto Balikpapan,https://www.favehotels.com/hotellist/eng/72/favehotel-letjend-soeprapto-balikpapan,Failed
108,favehotel Batam,https://www.favehotels.com/hotellist/eng/74/favehotel-batam,Failed
109,favehotel Cimanuk Garut,https://www.favehotels.com/en/hotel/view/75/favehotel-cimanuk,Success
110,favehotel Ahmad Yani Banjarmasin,https://www.favehotels.com/en/hotel/view/30/favehotel-ahmad-yani---banjarmasin,Success
111,Aston Berau City Hotel,https://www.aston-international.com/eng/hotel-detail/190/aston-berau-city-hotel,Success
112,Royal Kamuela Senggigi Residence,https://www.kamuelavillas.com/en/the-villas/royal-kamuela-lombok,Failed
113,Hotel Neo Cirebon,https://www.neohotels.com/en/hotel/view/40/hotel-neo-cirebon,Success
114,favehotel Palu Bay,https://www.favehotels.com/hotellist/eng/77/favehotel-palu-bay,Failed
115,favehotel Sunset Seminyak,https://www.favehotels.com/en/hotel/view/78/favehotel-sunset-seminyak,Success
116,favehotel Raya Kuta (Dewi Sri),https://www.favehotels.com/hotellist/eng/79/favehotel-raya-kuta-(dewi-sri),Failed
117,favehotel Purwakarta,https://www.favehotels.com/hotellist/eng/80/favehotel-purwakarta,Failed
118,favehotel Cokroaminoto,https://www.favehotels.com/hotellist/eng/81/favehotel-cokroaminoto,Failed
119,favehotel Malioboro - Yogyakarta,https://www.favehotels.com/en/hotel/view/86/favehotel-malioboro---yogyakarta,Success
120,favehotel Zainul Arifin,https://www.favehotels.com/en/hotel/view/82/favehotel-zainul-arifin--gajah-mada-,Success
121,favehotel Banjarbaru,https://www.favehotels.com/en/hotel/view/34/favehotel-banjarbaru,Success
122,favehotel Ketintang,https://www.favehotels.com/hotellist/eng/88/favehotel-ketintang-surabaya,Failed
123,favehotel Ahmad Yani,https://www.favehotels.com/en/hotel/view/83/favehotel-ahmad-yani,Failed
124,favehotel Colombo,https://www.favehotels.com/hotellist/eng/87/favehotel-colombo,Failed
125,Aston Anyer Beach Hotel,https://www.astonhotelsinternational.com/en/hotel/view/3/aston-anyer-beach-hotel,Success
126,Aston Gajah Mada Hotel & Convention Center,https://www.aston-international.com/eng/hotel-detail/219/aston-gajah-mada-hotel-convention-center,Success
127,Hotel Neo&#43; Pahlawan - Samarinda,https://www.neohotels.com/en/location/overview/44/Hotel-NEO--Pahlawan---Samarinda,Failed
128,Hotel Neo+ Green Savana Sentul City,https://www.neohotels.com/en/hotel/view/45/hotel-neo--green-savana-sentul-city,Success
129,Hotel Neo Kelapa Gading - Jakarta,https://www.neohotels.com/en/location/overview/46/Hotel-NEO-Kelapa-Gading---Jakarta,Failed
130,Quest Hotel Balikpapan,https://www.questhotels.com/en/hotel/view/5/quest-hotel-balikpapan,Success
131,favehotel Losari," https://www.favehotels.com/en/hotel/view/37/favehotel-pantai-losari-makassar",Failed
132,favehotel Ratulangi Makassar,https://www.favehotels.com/hotellist/eng/94/favehotel-ratulangi-makassar,Failed
133,favehotel Cibinong,https://www.favehotels.com/hotellist/eng/92/favehotel-cibinong,Failed
134,favehotel Tanah Abang II,https://www.favehotels.com/hotellist/eng/93/favehotel-tanah-abang-ii,Failed
135,favehotel Jepara,https://www.favehotels.com/hotellist/eng/95/favehotel-jepara,Failed
136,Aston Pekalongan Syariah Hotel & Conference Center,https://www.astonhotelsinternational.com/en/hotel/view/62/aston-pekalongan-syariah-hotel---conference-center,Success
137,favehotel Cipete,https://www.favehotels.com/hotellist/eng/99/favehotel-cipete-jakarta,Failed
138,favehotel Atang Senjaya Cengkareng,https://www.favehotels.com/hotellist/eng/98/favehotel-atang-senjaya-cengkareng,Failed
139,Harper Kuta,https://www.harperhotels.com/en/hotel/view/12/harper-kuta,Success
140,Harper Juanda,https://www.harperhotels.com/en/location/overview/48/harper-juanda,Failed
141,Harper Malioboro Yogyakarta,https://www.harperhotels.com/en/hotel/view/2/harper-malioboro-yogyakarta,Success
142,Aston Pasteur,https://www.astonhotelsinternational.com/en/hotel/view/45/aston-pasteur,Success
143,Harper Perintis,https://www.harperhotels.com/en/hotel/view/49/harper-perintis---makassar,Success
144,favehotel Lagaligo Makassar,https://www.favehotels.com/hotellist/eng/100/favehotel-lagaligo-makassar,Failed
145,favehotel Tohpati Denpasar,https://www.favehotels.com/en/hotel/view/102/favehotel-tohpati,Failed
146,favehotel Yos Sudarso - Tarakan,https://www.favehotels.com/hotellist/eng/105/favehotel-yos-sudarso---tarakan,Failed
147,favehotel Jababeka,https://www.favehotels.com/en/hotel/view/107/favehotel-jababeka,Failed
148,Aston Karimun City Hotel,https://www.astonhotelsinternational.com/en/hotel/view/18/aston-karimun-city-hotel,Success
149,Aston Sunset Beach Resort - Gili Trawangan,https://www.astonhotelsinternational.com/en/hotel/view/37/aston-sunset-beach-resort---gili-trawangan,Success
150,favehotel Melawai,https://www.favehotels.com/en/hotel/view/25/favehotel-melawai,Success
151,Favehotel Cipanas,https://www.favehotels.com/hotellist/eng/108/favehotel-cipanas,Failed
152,Favehotel Sultan Abdurrahman - Pontianak,https://www.favehotels.com/hotellist/eng/109/favehotel-sultan-abdurrahman---pontianak,Failed
153,Aston Timika Hotel & Convention Center,https://www.aston-international.com/eng/hotel-detail/249/aston-timika-hotel-convention-center,Success
154,Aston Cikarang City Hotel,https://www.aston-international.com/eng/hotel-detail/253/aston-cikarang-city-hotel,Success
155,favehotel Daan Mogot - Jakarta,https://www.favehotels.com/hotellist/eng/110/favehotel-daan-mogot---jakarta,Failed
156,favehotel Cokroaminoto - Denpasar,https://www.favehotels.com/hotellist/eng/111/favehotel-cokroaminoto---denpasar,Failed
157,Harper M.T. Haryono - Jakarta,https://www.harperhotels.com/en/hotel/view/54/harper-m-t--haryono---jakarta,Success
158,Aston Batam Hotel & Residence,https://www.astonhotelsinternational.com/en/hotel/view/52/aston-batam-hotel---residence,Success
159,favehotel Olo - Padang,https://www.favehotels.com/en/hotel/view/112/favehotel-olo---padang,Success
160,favehotel Sudirman - Pekanbaru,https://www.favehotels.com/en/hotel/view/113/favehotel-sudirman---pekanbaru,Success
161,Hotel Neo Sungkono - Surabaya,https://www.neohotels.com/en/hotel/view/41/hotel-neo-sungkono---surabaya,Failed
162,Hotel Neo Gajah Mada - Pontianak,https://www.neohotels.com/en/hotel/view/52/hotel-neo-gajah-mada---pontianak,Success
163,favehotel Cilacap,https://www.favehotels.com/en/hotel/view/114/favehotel-cilacap,Success
164,Quest Prime Cikarang,https://www.questhotels.com/en/hotel/view/10/quest-hotel-cikarang,Failed
165,favehotel Juanda - Surabaya,https://www.favehotels.com/hotellist/eng/115/favehotel-juanda---surabaya,Failed
166,Aston Bengkulu City Hotel,https://www.astonhotelsinternational.com/en/hotel/view/54/aston-bengkulu-city-hotel,Success
167,favehotel Rembang,https://www.favehotels.com/en/hotel/view/116/favehotel-rembang,Success
168,Aston Banyuwangi Hotel & Conference Center,https://www.astonhotelsinternational.com/en/hotel/view/55/aston-banyuwangi-hotel---conference-center,Success
169,Grand Aston Jambi Hotel & Convention Center,https://www.aston-international.com/eng/hotel-detail/264/grand-aston-jambi-hotel-convention-center,Success
170,Hotel Neo Dipatiukur - Bandung,https://www.neohotels.com/en/hotel/view/55/hotel-neo-dipatiukur---bandung,Success
171,Hotel Neo+ Penang - Malaysia,https://www.neohotels.com/en/hotel/view/57/hotel-neo--penang---malaysia,Success
172,Hotel Neo Banjarbaru - Kalimantan,https://www.neohotels.com/en/hotel/view/58/hotel-neo-banjarbaru---kalimantan,Failed
173,The Grove Suites,https://www.aston-international.com/eng/hotel-detail/86/the-grove-suites,Success
174,Harper Purwakarta,https://www.harperhotels.com/en/hotel/view/3/harper-purwakarta,Success
175,favehotel Lokasari - Jakarta,https://www.favehotels.com/hotellist/eng/118/favehotel-lokasari---jakarta,Failed
176,favehotel Mayjen Sutoyo - Bengkulu,https://www.favehotels.com/hotellist/eng/119/favehotel-mayjen-sutoyo---bengkulu,Failed
